VARIDX,VARA,VARB,VARC
156,btf,KaempferolOglucosylrhamnoside,Myricetingalactoside
157,btf,KaempferolOglucosylrhamnoside,Myricetinglucoside
158,btf,KaempferolOglucosylrhamnoside,Myricetinglucosylrhamnosiderhamnosylglucoside
159,btf,KaempferolOglucosylrhamnoside,Quercetinglucosylrhamnosylgalactoside
160,btf,KaempferolOglucosylrhamnoside,Quercetinrhamnosylgalactoside
161,btf,KaempferolOglucosylrhamnosylglucoside,Astragalin
162,btf,KaempferolOglucosylrhamnosylglucoside,Cianidanol
163,btf,KaempferolOglucosylrhamnosylglucoside,Epicatechin
164,btf,KaempferolOglucosylrhamnosylglucoside,Epicatechingallate
165,btf,KaempferolOglucosylrhamnosylglucoside,Epigallocatechin
166,btf,KaempferolOglucosylrhamnosylglucoside,EpigallocatechinGallate
167,btf,KaempferolOglucosylrhamnosylglucoside,Hyperoside
168,btf,KaempferolOglucosylrhamnosylglucoside,Kaempferolglucosylrhamnosylgalactoside
169,btf,KaempferolOglucosylrhamnosylglucoside,KaempferolODgalactoside
170,btf,KaempferolOglucosylrhamnosylglucoside,KaempferolOglucosylrhamnoside
171,btf,KaempferolOglucosylrhamnosylglucoside,KaempferolOglucosylrhamnosylglucoside
172,btf,KaempferolOglucosylrhamnosylglucoside,Myricetingalactoside
173,btf,KaempferolOglucosylrhamnosylglucoside,Myricetinglucoside
174,btf,KaempferolOglucosylrhamnosylglucoside,Myricetinglucosylrhamnosiderhamnosylglucoside
175,btf,KaempferolOglucosylrhamnosylglucoside,Quercetinglucosylrhamnosylgalactoside
176,btf,KaempferolOglucosylrhamnosylglucoside,Quercetinrhamnosylgalactoside
177,btf,Myricetingalactoside,Astragalin
178,btf,Myricetingalactoside,Cianidanol
179,btf,Myricetingalactoside,Epicatechin
180,btf,Myricetingalactoside,Epicatechingallate
181,btf,Myricetingalactoside,Epigallocatechin
182,btf,Myricetingalactoside,EpigallocatechinGallate
183,btf,Myricetingalactoside,Hyperoside
184,btf,Myricetingalactoside,Kaempferolglucosylrhamnosylgalactoside
185,btf,Myricetingalactoside,KaempferolODgalactoside
186,btf,Myricetingalactoside,KaempferolOglucosylrhamnoside
187,btf,Myricetingalactoside,KaempferolOglucosylrhamnosylglucoside
188,btf,Myricetingalactoside,Myricetingalactoside
189,btf,Myricetingalactoside,Myricetinglucoside
190,btf,Myricetingalactoside,Myricetinglucosylrhamnosiderhamnosylglucoside
191,btf,Myricetingalactoside,Quercetinglucosylrhamnosylgalactoside
192,btf,Myricetingalactoside,Quercetinrhamnosylgalactoside
193,btf,Myricetinglucoside,Astragalin
194,btf,Myricetinglucoside,Cianidanol
195,btf,Myricetinglucoside,Epicatechin
196,btf,Myricetinglucoside,Epicatechingallate
197,btf,Myricetinglucoside,Epigallocatechin
198,btf,Myricetinglucoside,EpigallocatechinGallate
199,btf,Myricetinglucoside,Hyperoside
200,btf,Myricetinglucoside,Kaempferolglucosylrhamnosylgalactoside
201,btf,Myricetinglucoside,KaempferolODgalactoside
202,btf,Myricetinglucoside,KaempferolOglucosylrhamnoside
203,btf,Myricetinglucoside,KaempferolOglucosylrhamnosylglucoside
204,btf,Myricetinglucoside,Myricetingalactoside
205,btf,Myricetinglucoside,Myricetinglucoside
206,btf,Myricetinglucoside,Myricetinglucosylrhamnosiderhamnosylglucoside
207,btf,Myricetinglucoside,Quercetinglucosylrhamnosylgalactoside
208,btf,Myricetinglucoside,Quercetinrhamnosylgalactoside
209,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Astragalin
210,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Cianidanol
211,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Epicatechin
212,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Epicatechingallate
213,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Epigallocatechin
214,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,EpigallocatechinGallate
215,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Hyperoside
216,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Kaempferolglucosylrhamnosylgalactoside
217,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,KaempferolODgalactoside
218,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,KaempferolOglucosylrhamnoside
219,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,KaempferolOglucosylrhamnosylglucoside
220,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Myricetingalactoside
221,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Myricetinglucoside
222,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Myricetinglucosylrhamnosiderhamnosylglucoside
223,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Quercetinglucosylrhamnosylgalactoside
224,btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Quercetinrhamnosylgalactoside
225,btf,Quercetinglucosylrhamnosylgalactoside,Astragalin
226,btf,Quercetinglucosylrhamnosylgalactoside,Cianidanol
227,btf,Quercetinglucosylrhamnosylgalactoside,Epicatechin
228,btf,Quercetinglucosylrhamnosylgalactoside,Epicatechingallate
229,btf,Quercetinglucosylrhamnosylgalactoside,Epigallocatechin
230,btf,Quercetinglucosylrhamnosylgalactoside,EpigallocatechinGallate
231,btf,Quercetinglucosylrhamnosylgalactoside,Hyperoside
232,btf,Quercetinglucosylrhamnosylgalactoside,Kaempferolglucosylrhamnosylgalactoside
233,btf,Quercetinglucosylrhamnosylgalactoside,KaempferolODgalactoside
234,btf,Quercetinglucosylrhamnosylgalactoside,KaempferolOglucosylrhamnoside
235,btf,Quercetinglucosylrhamnosylgalactoside,KaempferolOglucosylrhamnosylglucoside
236,btf,Quercetinglucosylrhamnosylgalactoside,Myricetingalactoside
237,btf,Quercetinglucosylrhamnosylgalactoside,Myricetinglucoside
238,btf,Quercetinglucosylrhamnosylgalactoside,Myricetinglucosylrhamnosiderhamnosylglucoside
239,btf,Quercetinglucosylrhamnosylgalactoside,Quercetinglucosylrhamnosylgalactoside
240,btf,Quercetinglucosylrhamnosylgalactoside,Quercetinrhamnosylgalactoside
241,btf,Quercetinrhamnosylgalactoside,Astragalin
242,btf,Quercetinrhamnosylgalactoside,Cianidanol
243,btf,Quercetinrhamnosylgalactoside,Epicatechin
244,btf,Quercetinrhamnosylgalactoside,Epicatechingallate
245,btf,Quercetinrhamnosylgalactoside,Epigallocatechin
246,btf,Quercetinrhamnosylgalactoside,EpigallocatechinGallate
247,btf,Quercetinrhamnosylgalactoside,Hyperoside
248,btf,Quercetinrhamnosylgalactoside,Kaempferolglucosylrhamnosylgalactoside
249,btf,Quercetinrhamnosylgalactoside,KaempferolODgalactoside
250,btf,Quercetinrhamnosylgalactoside,KaempferolOglucosylrhamnoside
251,btf,Quercetinrhamnosylgalactoside,KaempferolOglucosylrhamnosylglucoside
252,btf,Quercetinrhamnosylgalactoside,Myricetingalactoside
253,btf,Quercetinrhamnosylgalactoside,Myricetinglucoside
254,btf,Quercetinrhamnosylgalactoside,Myricetinglucosylrhamnosiderhamnosylglucoside
255,btf,Quercetinrhamnosylgalactoside,Quercetinglucosylrhamnosylgalactoside
256,btf,Quercetinrhamnosylgalactoside,Quercetinrhamnosylgalactoside
